name_romaji	name_english	name_japanese	is_unverified	is_external	is_movie	is_adult	is_action	is_adventure	is_comedy	is_drama	is_ecchi	is_fantasy	is_horror	is_mahou_shoujo	is_mecha	is_music	is_mystery	is_psychological	is_romance	is_sci_fi	is_slice_of_life	is_sports	is_supernatural	is_thriller	format	status	source	episodes_amount	time_required	start_date	end_date	rating_value	rating_count	company_production	company_producer	company_creator	last_modified	file_modified_first	file_modified_last	file_modified_median	filesize_min	filesize_max	filesize_median
.hack//G.U. Trilogy	?	?	false	true	true	false	true	false	false	false	false	true	false	false	false	false	false	false	false	true	false	false	false	false	Movie	Finished	Video Game	1	5580000	1206403200	1206403200	66	1874	0	23	23	1715375694	1709466781	1709466781	1709466781	76242	76242	76242
009 RE:CYBORG	009 Re:Cyborg	009 RE:CYBORG	false	false	true	false	true	true	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	false	Movie	Finished	?	1	6180000	1351296000	1351296000	60	1290	10	102	10	1724022616	1724022616	1724022616	1724022616	111828	111828	111828
07-Ghost	07-Ghost	セブンゴースト	false	true	false	false	true	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	TV	Finished	Manga	25	1380000	1239062400	1253577600	66	9756	37	467	37	1717366600	1717366600	1717366600	1717366600	20361	55300	41242
100-man no Inochi no Ue ni Ore wa Tatteiru	I'm Standing on a Million Lives	100万の命の上に俺は立っている	false	true	false	false	true	false	false	true	false	true	false	false	false	false	false	false	false	false	false	false	false	false	TV	Finished	Manga	12	1440000	1601596800	1608249600	63	26914	6288	104	6288	1715396229	1714233719	1714233719	1714233719	22323	33579	27876
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season	I'm Standing on a Million Lives Season 2	100万の命の上に俺は立っている 第2シーズン	false	false	false	false	true	false	false	true	false	true	false	false	false	false	false	false	false	false	false	false	false	false	TV	Finished	Manga	12	1440000	1625875200	1632528000	66	14238	6288	0	6288	1715396546	1714233632	1714233632	1714233632	27638	38862	35547
11eyes	11eyes	イレブンアイズ	false	true	false	false	true	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	TV	Finished	Visual Novel	12	1500000	1254873600	1261526400	53	15434	95	82	82	1715416743	1715416743	1715416743	1715416743	22570	62956	26070
16bit Sensation: ANOTHER LAYER	16bit Sensation: Another Layer	16bitセンセーション ANOTHER LAYER	false	true	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	TV	Finished	Original	13	1440000	1696464000	1703721600	68	6247	6240	17	17	1726352700	1709466797	1726352700	1720714280	26935	37797	32751
180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?	?	180秒で君の耳を幸せにできるか？	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	TV Short	Finished	Original	12	180000	1634256000	1640908800	49	3628	6201	0	6201	1641146976	1709466803	1709466804	1709466803	7989	123770	14658
2.43: Seiin Koukou Danshi Volley-bu	2.43: Seiin High School Boys Volleyball Team	2.43 清陰高校男子バレー部	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	true	true	false	false	TV	Finished	Novel	12	1380000	1610064000	1616716800	59	12538	287	769	287	1717369802	1709475373	1717369802	1713422588	24655	35656	30916
2.5 Jigen no Ririsa	2.5 Dimensional Seduction	2.5次元の誘惑	false	false	false	false	false	false	true	false	true	false	false	false	false	false	false	false	true	false	true	false	false	false	TV	Releasing	Manga	14	1440000	1720137600	0	68	2889	7	6341	7	1727561543	1720377769	1727561543	1724460699	28040	85740	40028
22/7	22/7 (nanabun no nijuuni)	22/7 （ナナブンノニジュウニ）	false	true	false	false	false	false	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	TV	Finished	Other	12	1440000	1578700800	1585353600	64	5509	561	17	561	1717236339	1717236339	1717236339	1717236339	1316989	1316989	1316989
3-gatsu no Lion	March comes in like a lion	３月のライオン	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	true	false	false	false	TV	Finished	Manga	22	1500000	1475884800	1489795200	83	61517	44	17	44	1717370336	1709483184	1717370336	1717122599	17952	2916452	30494
